election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,1st,2nd,3rd
6,QC,175,"L'ISLET",,883,843,,Lib,Other,Con
6,QC,176,"LAPRAIRIE",894,,917,,Other,Con,Lib
6,QC,177,"LAVAL",,534,,854,PC,Lib,Other
6,QC,178,"LOTBINIÈRE",955,1464,,,Lib,Con,Other
6,QC,179,"LÉVIS",1776,2170,,,Lib,Con,Other
6,QC,180,"MASKINONGÉ",1003,,997,,Con,Other,Lib
6,QC,181,"MISSISQUOI",285,1590,,1410,Lib,PC,Con
6,QC,182,"MONTCALM",953,,835,,Con,Other,Lib
6,QC,183,"MONTMAGNY",878,1071,,,Lib,Con,Other
6,QC,184,"MONTMORENCY",938,939,,,Lib,Con,Other
6,QC,185,"MONTREAL CENTRE",3116,,2185,,Con,Other,Lib
6,QC,186,"MONTREAL EAST",,,,,Other,Con,Lib
6,QC,187,"MONTREAL WEST",,2458,3908,,Other,Lib,Con
6,QC,188,"MÉGANTIC",,1471,1336,,Lib,Other,Con
6,QC,189,"NAPIERVILLE",687,908,,,Lib,Con,Other
6,QC,190,"NICOLET",,779,1957,,Other,Lib,Con
6,QC,191,"OTTAWA (COUNTY OF)",,1784,,2630,PC,Lib,Other
6,QC,192,"PONTIAC",1681,966,,,Con,Lib,Other
6,QC,193,"PORTNEUF",1661,1962,,,Lib,Con,Other
6,QC,194,"QUEBEC COUNTY",1451,1192,,,Con,Lib,Other
6,QC,195,"QUEBEC EAST",695,2622,,,Lib,Con,Other
6,QC,196,"QUEBEC WEST",,,770,816,PC,Other,Con
6,QC,197,"QUEBEC-CENTRE",626,1331,,,Lib,Con,Other
6,QC,198,"RICHELIEU",1618,1560,,,Con,Lib,Other
6,QC,199,"RICHMOND--WOLFE",2355,2218,,,Con,Lib,Other
6,QC,200,"RIMOUSKI",1660,2228,,,Lib,Con,Other
6,QC,201,"ROUVILLE",,,,,Other,Con,Lib
6,QC,202,"SAINT MAURICE",918,651,,,Con,Lib,Other
6,QC,203,"SHEFFORD",1671,,1640,,Con,Other,Lib
6,QC,204,"SHERBROOKE (TOWN OF)",,504,,1081,PC,Lib,Other
6,QC,205,"SOULANGES",927,,784,,Con,Other,Lib
6,QC,206,"ST. HYACINTHE",314,1489,,,Lib,Con,Other
6,QC,207,"ST. JOHN'S",,1616,,,Lib,Other,Con
6,QC,208,"STANSTEAD",,1410,,1844,PC,Lib,Other
6,QC,209,"TERREBONNE",1819,1034,,,Con,Lib,Other
6,QC,210,"THREE RIVERS",640,610,,,Con,Lib,Other
6,QC,211,"TWO MOUNTAINS",1091,1019,,,Con,Lib,Other
6,QC,212,"TÉMISCOUATA",1707,1641,,,Con,Lib,Other
6,QC,213,"VAUDREUIL",996,783,,,Con,Lib,Other
6,QC,214,"VERCHÈRES",,1125,991,,Lib,Other,Con
6,QC,215,"YAMASKA",1333,1302,,,Con,Lib,Other
