election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
32,QC,208,"DOLLARD",37860,5767,593,5303,,Lib,NDP,PC
32,QC,209,"DRUMMOND",26082,2305,277,5265,1916,Lib,PC,NDP
32,QC,210,"DUVERNAY",34560,5069,2897,3647,1542,Lib,NDP,PC
32,QC,211,"FRONTENAC",14745,1693,441,4922,10328,Lib,SoCred,PC
32,QC,212,"GAMELIN",29232,4506,2234,3245,1162,Lib,NDP,PC
32,QC,213,"GASPÉ",17846,1018,1014,9604,,Lib,PC,NDP
32,QC,214,"GATINEAU",35437,4792,748,3134,975,Lib,NDP,PC
32,QC,215,"HOCHELAGA--MAISONNEUVE",21138,2732,2094,1977,873,Lib,NDP,Other
32,QC,216,"HULL",27938,10059,842,2167,,Lib,NDP,PC
32,QC,217,"JOLIETTE",21891,2330,184,22280,756,PC,Lib,NDP
32,QC,218,"JONQUIÈRE",22202,4444,507,1126,1315,Lib,NDP,SoCred
32,QC,219,"KAMOURASKA--RIVIÈRE-DU-LOUP",19117,,1121,1519,13101,Lib,SoCred,PC
32,QC,220,"LABELLE",29488,2858,2137,9829,,Lib,PC,NDP
32,QC,221,"LAC-SAINT-JEAN",21267,3465,1411,4608,2821,Lib,PC,NDP
32,QC,222,"LACHINE",25502,3492,841,12854,,Lib,PC,NDP
32,QC,223,"LANGELIER",24714,2811,3248,2606,1191,Lib,Other,NDP
32,QC,224,"LAPRAIRIE",36842,5894,2474,4960,948,Lib,NDP,PC
32,QC,225,"LASALLE",32561,5173,762,3128,,Lib,NDP,PC
32,QC,226,"LAURIER",16201,2216,3780,1572,534,Lib,Other,NDP
32,QC,227,"LAVAL",38580,5709,2092,3715,1110,Lib,NDP,PC
32,QC,228,"LAVAL-DES-RAPIDES",33317,4699,2468,3049,911,Lib,NDP,PC
32,QC,229,"LONGUEUIL",32755,6144,3526,3383,1688,Lib,NDP,Other
32,QC,230,"LOTBINIÈRE",24780,3041,1280,9117,3707,Lib,PC,SoCred
32,QC,231,"LOUIS-HÉBERT",34231,7392,4503,5490,1247,Lib,NDP,PC
32,QC,232,"LÉVIS",35519,6459,3135,4759,3385,Lib,NDP,PC
32,QC,233,"MANICOUAGAN",21499,2111,1681,4844,1184,Lib,PC,NDP
32,QC,234,"MATAPÉDIA--MATANE",21116,888,892,3095,1137,Lib,PC,SoCred
32,QC,235,"MERCIER",27428,4258,2142,3161,1891,Lib,NDP,PC
32,QC,236,"MISSISQUOI",20022,1508,776,15413,,Lib,PC,NDP
32,QC,237,"MONTMORENCY",28403,3049,2955,4359,1744,Lib,PC,NDP
32,QC,238,"MOUNT ROYAL",33821,2356,1058,4402,,Lib,PC,NDP
32,QC,239,"MÉGANTIC--COMPTON--STANSTEAD",21562,1769,1002,10336,3023,Lib,PC,SoCred
32,QC,240,"NOTRE-DAME-DE-GRÂCE",27604,4482,1014,5691,,Lib,PC,NDP
32,QC,241,"OUTREMONT",23004,3996,2824,2355,,Lib,NDP,Other
32,QC,242,"PAPINEAU",22399,2796,2162,1634,999,Lib,NDP,Other
32,QC,243,"PONTIAC--GATINEAU--LABELLE",21605,2813,1125,5151,,Lib,PC,NDP
32,QC,244,"PORTNEUF",29234,3285,1838,2905,2320,Lib,NDP,PC
32,QC,245,"QUÉBEC-EST",27546,3327,2280,2577,1998,Lib,NDP,PC
32,QC,246,"RICHELIEU",27886,3004,1872,8155,,Lib,PC,NDP
32,QC,247,"RICHMOND",21104,1477,876,8365,1322,Lib,PC,NDP
32,QC,248,"RIMOUSKI",21482,1155,867,3999,10839,Lib,SoCred,PC
32,QC,249,"ROBERVAL",17724,569,503,507,14832,Lib,SoCred,NDP
32,QC,250,"ROSEMONT",26544,3337,1936,2260,912,Lib,NDP,PC
32,QC,251,"SAINT-DENIS",28383,3485,1740,2312,743,Lib,NDP,PC
32,QC,252,"SAINT-HENRI--WESTMOUNT",24907,3766,1563,6669,,Lib,PC,NDP
32,QC,253,"SAINT-HYACINTHE",28130,2257,1588,10033,,Lib,PC,NDP
32,QC,254,"SAINT-JACQUES",17757,2339,1800,3038,,Lib,PC,NDP
32,QC,255,"SAINT-JEAN",30134,5194,1118,4410,929,Lib,NDP,PC
32,QC,256,"SAINT-LÉONARD--ANJOU",42228,3741,1920,2972,1194,Lib,NDP,PC
32,QC,257,"SAINT-MAURICE",27356,1963,1462,2516,2369,Lib,PC,SoCred
32,QC,258,"SAINT-MICHEL",27210,3422,2280,2059,1079,Lib,NDP,Other
32,QC,259,"SAINTE-MARIE",19160,2443,2189,3576,605,Lib,PC,NDP
32,QC,260,"SHEFFORD",32449,3701,1403,9837,,Lib,PC,NDP
32,QC,261,"SHERBROOKE",27224,3777,1830,3514,1577,Lib,NDP,PC
32,QC,262,"TERREBONNE",36089,6917,2208,4807,2839,Lib,NDP,PC
32,QC,263,"TROIS-RIVIÈRES",23791,3870,2598,4482,,Lib,PC,NDP
32,QC,264,"TÉMISCAMINGUE",22031,1586,1948,1886,8653,Lib,SoCred,Other
32,QC,265,"VAUDREUIL",39159,7309,1226,6277,,Lib,NDP,PC
32,QC,266,"VERCHÈRES",37393,7015,3302,5653,1514,Lib,NDP,PC
32,QC,267,"VERDUN",27575,3635,1376,3423,599,Lib,NDP,PC
32,SK,268,"ASSINIBOIA",10167,9710,,11251,178,PC,Lib,NDP
