election_id,prov_code,ed_id,ed_name,Grn,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
33,QC,239,"MOUNT ROYAL",,22716,4735,1696,18707,,Lib,PC,NDP
33,QC,240,"MÉGANTIC--COMPTON--STANSTEAD",454,13123,2690,478,25679,399,PC,Lib,NDP
33,QC,241,"NOTRE-DAME-DE-GRÂCE--LACHINE EAST",,17910,5772,1711,15845,,Lib,PC,NDP
33,QC,242,"OUTREMONT",890,14508,6687,2990,10383,,Lib,PC,NDP
33,QC,243,"PAPINEAU",,12754,4295,3458,12053,147,Lib,PC,NDP
33,QC,244,"PONTIAC--GATINEAU--LABELLE",,10025,2667,665,21754,,PC,Lib,NDP
33,QC,245,"PORTNEUF",,17687,3012,1860,23797,248,PC,Lib,NDP
33,QC,246,"QUÉBEC-EST",,14332,4189,2569,19782,239,PC,Lib,NDP
33,QC,247,"RICHELIEU",,14933,2174,2484,28747,202,PC,Lib,Other
33,QC,248,"RICHMOND--WOLFE",,18069,1638,1339,13835,273,Lib,PC,NDP
33,QC,249,"RIMOUSKI--TÉMISCOUATA",,14234,1250,1656,25516,,PC,Lib,Other
33,QC,250,"ROBERVAL",,12917,837,422,22981,,PC,Lib,NDP
33,QC,251,"ROSEMONT",,14477,4054,2921,15782,143,PC,Lib,NDP
33,QC,252,"SAINT-DENIS",,18750,4581,3257,12122,,Lib,PC,NDP
33,QC,253,"SAINT-HENRI--WESTMOUNT",,18244,5889,1980,14168,,Lib,PC,NDP
33,QC,254,"SAINT-HYACINTHE--BAGOT",,21394,2196,1971,22984,,PC,Lib,NDP
33,QC,255,"SAINT-JACQUES",,10875,4057,2210,10291,,Lib,PC,NDP
33,QC,256,"SAINT-JEAN",,14823,3642,2256,30769,,PC,Lib,NDP
33,QC,257,"SAINT-LÉONARD--ANJOU",,24520,7506,3931,23275,,Lib,PC,NDP
33,QC,258,"SAINT-MAURICE",,24050,1433,892,14468,,Lib,PC,NDP
33,QC,259,"SAINT-MICHEL--AHUNTSIC",,17269,4875,3064,15444,,Lib,PC,NDP
33,QC,260,"SHEFFORD",,25483,3569,1552,23028,,Lib,PC,NDP
33,QC,261,"SHERBROOKE",,14607,4230,1905,22232,197,PC,Lib,NDP
33,QC,262,"TERREBONNE",,19040,6454,3352,43822,,PC,Lib,NDP
33,QC,263,"TROIS-RIVIÈRES",,10217,1947,2975,26843,,PC,Lib,Other
33,QC,264,"TÉMISCAMINGUE",,13756,2189,3583,20347,626,PC,Lib,Other
33,QC,265,"VAUDREUIL",,20362,7993,2971,37499,,PC,Lib,NDP
33,QC,266,"VERCHÈRES",,19365,6534,4478,38690,,PC,Lib,NDP
33,QC,267,"VERDUN--SAINT-PAUL",,16431,3912,2206,17378,,PC,Lib,NDP
33,SK,268,"ASSINIBOIA",,6472,10853,595,16026,,PC,NDP,Lib
33,SK,269,"HUMBOLDT--LAKE CENTRE",,6005,15087,429,13166,,NDP,PC,Lib
33,SK,270,"KINDERSLEY--LLOYDMINSTER",,3979,10229,419,20436,,PC,NDP,Lib
33,SK,271,"MACKENZIE",,4961,10848,1269,11403,,PC,NDP,Lib
33,SK,272,"MOOSE JAW",,4762,13338,446,15803,,PC,NDP,Lib
33,SK,273,"PRINCE ALBERT",,10886,13359,262,13062,,NDP,PC,Lib
33,SK,274,"QU'APPELLE--MOOSE MOUNTAIN",,4898,8414,1257,14470,,PC,NDP,Lib
33,SK,275,"REGINA EAST",,9554,20474,408,15185,,NDP,PC,Lib
33,SK,276,"REGINA WEST",,10405,23865,635,16066,,NDP,PC,Lib
33,SK,277,"SASKATOON EAST",164,11901,16670,463,17087,,PC,NDP,Lib
33,SK,278,"SASKATOON WEST",150,6355,18910,941,26012,,PC,NDP,Lib
33,SK,279,"SWIFT CURRENT--MAPLE CREEK",,5967,8196,582,14590,,PC,NDP,Lib
33,SK,280,"THE BATTLEFORDS--MEADOW LAKE",,4002,12559,319,12895,,PC,NDP,Lib
33,SK,281,"YORKTON--MELVILLE",,4996,18116,400,11800,,NDP,PC,Lib
33,YK,282,"YUKON",,2535,1884,637,6648,,PC,Lib,NDP
