election_id,prov_code,ed_id,ed_name,AntiConfed,Con,Lib,Other,PC,1st,2nd,3rd
1,NS,28,"LUNENBURG",1557,,,905,,AntiConfed,Other,Con
1,NS,29,"PICTOU",2011,1653,,,,AntiConfed,Con,Other
1,NS,30,"QUEENS",844,,,271,,AntiConfed,Other,Con
1,NS,31,"RICHMOND",545,,,279,,AntiConfed,Other,Con
1,NS,32,"SHELBURNE",,,,,,Other,AntiConfed,Con
1,NS,33,"VICTORIA",,,,,,Other,AntiConfed,Con
1,NS,34,"YARMOUTH",1225,,,666,,AntiConfed,Other,Con
1,ON,35,"ADDINGTON",,1120,,3,991,Con,PC,Other
1,ON,36,"ALGOMA",,250,,279,,Other,Con,AntiConfed
1,ON,37,"BOTHWELL",,1224,1333,,,Lib,Con,Other
1,ON,38,"BRANT NORTH",,,,670,672,PC,Other,AntiConfed
1,ON,39,"BRANT SOUTH",,,1257,1090,,Lib,Other,AntiConfed
1,ON,40,"BROCKVILLE",,690,,521,,Con,Other,AntiConfed
1,ON,41,"BRUCE NORTH",,862,,852,,Con,Other,AntiConfed
1,ON,42,"BRUCE SOUTH",,1777,,1629,,Con,Other,AntiConfed
1,ON,43,"CARDWELL",,1155,,1078,,Con,Other,AntiConfed
1,ON,44,"CARLETON",,1006,,,1087,PC,Con,Other
1,ON,45,"CORNWALL",,,451,295,,Lib,Other,AntiConfed
1,ON,46,"DUNDAS",,,,,,Other,AntiConfed,Con
1,ON,47,"DURHAM EAST",,1134,,451,,Con,Other,AntiConfed
1,ON,48,"DURHAM WEST",,,1337,931,,Lib,Other,AntiConfed
1,ON,49,"ELGIN EAST",,1492,,1382,,Con,Other,AntiConfed
1,ON,50,"ELGIN WEST",,970,,766,,Con,Other,AntiConfed
1,ON,51,"ESSEX",,1439,,1432,,Con,Other,AntiConfed
1,ON,52,"FRONTENAC",,1242,,693,,Con,Other,AntiConfed
1,ON,53,"GLENGARRY",,,,,,Other,AntiConfed,Con
1,ON,54,"GRENVILLE SOUTH",,899,,730,,Con,Other,AntiConfed
1,ON,55,"GREY NORTH",,,1399,1143,,Lib,Other,AntiConfed
1,ON,56,"GREY SOUTH",,1560,,1547,,Con,Other,AntiConfed
1,ON,57,"HALDIMAND",,,1391,1022,,Lib,Other,AntiConfed
1,ON,58,"HALTON",,,1422,1289,,Lib,Other,AntiConfed
1,ON,59,"HAMILTON",,,,,,Other,AntiConfed,Con
1,ON,60,"HASTINGS EAST",,1110,,457,,Con,Other,AntiConfed
1,ON,61,"HASTINGS NORTH",,928,,637,,Con,Other,AntiConfed
1,ON,62,"HASTINGS WEST",,773,,313,,Con,Other,AntiConfed
1,ON,63,"HURON NORTH",,,1940,1993,,Other,Lib,AntiConfed
1,ON,64,"HURON SOUTH",,,1624,1454,,Lib,Other,AntiConfed
1,ON,65,"KENT",,1524,,1427,,Con,Other,AntiConfed
1,ON,66,"KINGSTON",,,,142,735,PC,Other,AntiConfed
1,ON,67,"LAMBTON",,1311,1999,,,Lib,Con,Other
1,ON,68,"LANARK NORTH",,,,,,Other,AntiConfed,Con
1,ON,69,"LANARK SOUTH",,,,,,Other,AntiConfed,Con
1,ON,70,"LEEDS NORTH AND GRENVILLE NORTH",,923,,857,,Con,Other,AntiConfed
1,ON,71,"LEEDS SOUTH",,1393,,1364,,Con,Other,AntiConfed
1,ON,72,"LENNOX",,1268,,1122,,Con,Other,AntiConfed
1,ON,73,"LINCOLN",,,,,,Other,AntiConfed,Con
1,ON,74,"LONDON",,,,266,1114,PC,Other,AntiConfed
1,ON,75,"MIDDLESEX EAST",,,,1756,1896,PC,Other,AntiConfed
1,ON,76,"MIDDLESEX NORTH",,,1605,874,,Lib,Other,AntiConfed
1,ON,77,"MIDDLESEX WEST",,1063,,1044,,Con,Other,AntiConfed
1,ON,78,"MONCK",,,,871,1126,PC,Other,AntiConfed
1,ON,79,"NIAGARA",,300,,250,,Con,Other,AntiConfed
1,ON,80,"NORFOLK NORTH",,1026,,990,,Con,Other,AntiConfed
1,ON,81,"NORFOLK SOUTH",,,1050,969,,Lib,Other,AntiConfed
1,ON,82,"NORTHUMBERLAND EAST",,,,827,1607,PC,Other,AntiConfed
1,ON,83,"NORTHUMBERLAND WEST",,,,,,Other,AntiConfed,Con
1,ON,84,"ONTARIO NORTH",,,2990,,,Lib,Other,AntiConfed
1,ON,85,"ONTARIO SOUTH",,,,1223,1292,PC,Other,AntiConfed
1,ON,86,"OTTAWA (CITY OF)",,,,31,974,PC,Other,AntiConfed
1,ON,87,"OXFORD NORTH",,,,,,Other,AntiConfed,Con
1,ON,88,"OXFORD SOUTH",,,,,,Other,AntiConfed,Con
1,ON,89,"PEEL",,1138,,1076,,Con,Other,AntiConfed
1,ON,90,"PERTH NORTH",,,1515,0,1307,Lib,PC,Other
1,ON,91,"PERTH SOUTH",,,1490,1393,,Lib,Other,AntiConfed
1,ON,92,"PETERBOROUGH EAST",,956,,644,,Con,Other,AntiConfed
1,ON,93,"PETERBOROUGH WEST",,681,,652,,Con,Other,AntiConfed
1,ON,94,"PRESCOTT",,,1205,130,,Lib,Other,AntiConfed
1,ON,95,"PRINCE EDWARD",,942,1779,,,Lib,Con,Other
1,ON,96,"RENFREW NORTH",,613,,527,,Con,Other,AntiConfed
1,ON,97,"RENFREW SOUTH",,,,,,Other,AntiConfed,Con
1,ON,98,"RUSSELL",,1293,,695,,Con,Other,AntiConfed
1,ON,99,"SIMCOE NORTH",,,,,,Other,AntiConfed,Con
1,ON,100,"SIMCOE SOUTH",,,,1055,1411,PC,Other,AntiConfed
