election_id,prov_code,ed_id,ed_name,CCF,Grn,Lib,NDP,Other,PC,Reform,SoCred,1st,2nd,3rd
34,SK,286,"REGINA--QU'APPELLE",,,5028,18608,,10854,,,NDP,PC,Lib
34,SK,287,"REGINA--WASCANA",,,14804,14829,141,15339,,,PC,NDP,Lib
34,SK,288,"SASKATOON--CLARK'S CROSSING",,222,6554,19889,,14847,,,NDP,PC,Lib
34,SK,289,"SASKATOON--DUNDURN",,,8389,20986,435,13859,,,NDP,PC,Lib
34,SK,290,"SASKATOON--HUMBOLDT",,,8442,17703,,14793,,,NDP,PC,Lib
34,SK,291,"SOURIS--MOOSE MOUNTAIN",,,6965,11924,652,17200,,,PC,NDP,Lib
34,SK,292,"SWIFT CURRENT--MAPLE CREEK--ASSINIBOIA",,,7958,11827,468,15944,,,PC,NDP,Lib
34,SK,293,"THE BATTLEFORDS--MEADOW LAKE",,,5152,14516,197,13804,461,,NDP,PC,Lib
34,SK,294,"YORKTON--MELVILLE",,,5149,18523,,12543,,,NDP,PC,Lib
34,YK,295,"YUKON",,,1450,6594,255,4524,,,NDP,PC,Lib
