election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
41,NS,12007,"Cumberland--Colchester--Musquodoboit Valley",,21041,2109,7264,9322,375,Con,NDP,Lib
41,NS,12008,"Sackville--Eastern Shore",,12662,1762,4673,22483,,NDP,Con,Lib
41,NS,12009,"South Shore--St. Margaret's",,17948,1579,7037,15033,,Con,NDP,Lib
41,NS,12010,"Sydney--Victoria",,14023,1191,14788,7049,,Lib,Con,NDP
41,NS,12011,"West Nova",,20204,1487,15632,5631,,Con,Lib,NDP
41,NT,61001,"Western Arctic",,5001,477,2872,7140,87,NDP,Con,Lib
41,NU,62001,"Nunavut",,3930,160,2260,1525,,Con,Lib,NDP
41,ON,35001,"Ajax--Pickering",,24797,1561,21569,8270,71,Con,Lib,NDP
41,ON,35002,"Algoma--Manitoulin--Kapuskasing",,10991,1130,5374,18747,,NDP,Con,Lib
41,ON,35003,"Ancaster--Dundas--Flamborough--Westdale",,30240,2963,14594,10956,247,Con,Lib,NDP
41,ON,35004,"Barrie",,32121,3266,9113,11842,309,Con,NDP,Lib
41,ON,35005,"Beaches--East York",,11067,2240,14967,20265,130,NDP,Lib,Con
41,ON,35006,"Bramalea--Gore--Malton",,19907,1748,16402,19368,371,Con,NDP,Lib
41,ON,35007,"Brampton--Springdale",,24618,1926,14221,10022,219,Con,Lib,NDP
41,ON,35008,"Brampton West",,28320,1224,22128,11225,387,Con,Lib,NDP
41,ON,35009,"Brant",,28045,1858,10780,16351,312,Con,NDP,Lib
41,ON,35010,"Burlington",,32958,2151,14154,11449,140,Con,Lib,NDP
41,ON,35011,"Cambridge",,29394,1978,8285,15238,153,Con,NDP,Lib
41,ON,35012,"Carleton--Mississippi Mills",,43723,3434,18393,11223,,Con,Lib,NDP
41,ON,35013,"Chatham-Kent--Essex",,23360,1470,7172,11449,,Con,NDP,Lib
41,ON,35014,"Durham",,31737,3134,10387,12277,649,Con,NDP,Lib
41,ON,35015,"Davenport",,5573,1344,10946,21096,295,NDP,Lib,Con
41,ON,35016,"Don Valley East",,14422,1114,13552,9878,246,Con,Lib,NDP
41,ON,35017,"Don Valley West",,22962,1703,22351,6280,186,Con,Lib,NDP
41,ON,35018,"Dufferin--Caledon",,28647,7132,6361,6409,,Con,Grn,NDP
41,ON,35019,"Eglinton--Lawrence",,22652,1534,18590,5613,,Con,Lib,NDP
41,ON,35020,"Elgin--Middlesex--London",,29147,1529,6812,12439,722,Con,NDP,Lib
41,ON,35021,"Essex",,25327,1290,7465,18538,77,Con,NDP,Lib
41,ON,35022,"Etobicoke Centre",,21644,1377,21618,7735,149,Con,Lib,NDP
41,ON,35023,"Etobicoke--Lakeshore",,21997,2159,19128,11046,190,Con,Lib,NDP
41,ON,35024,"Etobicoke North",,10357,,13665,7630,583,Lib,Con,NDP
41,ON,35025,"Glengarry--Prescott--Russell",,28174,2049,17705,9608,194,Con,Lib,NDP
41,ON,35026,"Bruce--Grey--Owen Sound",,28744,5099,8203,9008,,Con,NDP,Lib
41,ON,35027,"Guelph",,19352,3619,25588,9880,582,Lib,Con,NDP
41,ON,35028,"Haldimand--Norfolk",,25655,1665,12549,10062,435,Con,Lib,NDP
41,ON,35029,"Haliburton--Kawartha Lakes--Brock",,35192,2963,7539,12934,,Con,NDP,Lib
41,ON,35030,"Halton",,44214,2778,20903,12960,249,Con,Lib,NDP
41,ON,35031,"Hamilton Centre",,11020,,5912,23849,1032,NDP,Con,Lib
41,ON,35032,"Hamilton East--Stoney Creek",,17567,1450,6411,21931,1178,NDP,Con,Lib
41,ON,35033,"Hamilton Mountain",,17936,1505,8787,25595,441,NDP,Con,Lib
41,ON,35034,"Huron--Bruce",,29255,1455,8784,13493,254,Con,NDP,Lib
41,ON,35035,"Kenora",,11567,636,5381,6855,147,Con,NDP,Lib
41,ON,35036,"Kingston and the Islands",,21189,2561,23842,13065,,Lib,Con,NDP
41,ON,35037,"Kitchener Centre",,21119,1972,15592,10742,384,Con,Lib,NDP
