election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
40,QC,24056,"Rimouski-Neigette--Témiscouata--Les Basques",17652,7216,645,7937,4084,1966,Bloc,Lib,Con
40,QC,24057,"Rivière-des-Mille-Îles",23216,9911,2134,8823,6741,,Bloc,Con,Lib
40,QC,24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",20494,13640,978,6835,2428,147,Bloc,Con,Lib
40,QC,24059,"Rivière-du-Nord",26588,7170,1656,6755,7187,273,Bloc,NDP,Con
40,QC,24060,"Roberval--Lac-Saint-Jean",14619,16055,737,3721,1738,,Con,Bloc,Lib
40,QC,24061,"Rosemont--La Petite-Patrie",27260,3876,2406,9785,8522,572,Bloc,Lib,NDP
40,QC,24062,"Saint-Bruno--Saint-Hubert",23767,8125,2031,11755,7154,,Bloc,Lib,Con
40,QC,24063,"Saint-Hyacinthe--Bagot",22719,10195,1682,6649,6721,,Bloc,Con,NDP
40,QC,24064,"Saint-Jean",26506,9281,2160,9430,5529,520,Bloc,Lib,Con
40,QC,24065,"Saint-Lambert",16346,6867,1566,12383,6280,,Bloc,Lib,Con
40,QC,24066,"Saint-Laurent--Cartierville",4611,6999,,25095,3654,299,Lib,Con,Bloc
40,QC,24067,"Saint-Léonard--Saint-Michel",5146,5627,1063,21652,4039,287,Lib,Con,Bloc
40,QC,24068,"Saint-Maurice--Champlain",20397,11083,1562,9755,3601,,Bloc,Con,Lib
40,QC,24069,"Shefford",21650,9927,1848,10810,6323,,Bloc,Lib,Con
40,QC,24070,"Sherbrooke",25502,8331,,9947,6676,467,Bloc,Lib,Con
40,QC,24071,"Terrebonne--Blainville",28303,7551,1714,8937,7278,283,Bloc,Lib,Con
40,QC,24072,"Trois-Rivières",22405,11998,1540,9008,4544,,Bloc,Con,Lib
40,QC,24073,"Vaudreuil-Soulanges",27044,15496,2625,13954,6298,,Bloc,Con,Lib
40,QC,24074,"Verchères--Les Patriotes",27602,7742,1679,8871,8388,,Bloc,Lib,NDP
40,QC,24075,"Westmount--Ville-Marie",2818,6139,2733,18041,8904,192,Lib,NDP,Con
40,SK,47001,"Battlefords--Lloydminster",,15621,1287,2140,6572,368,Con,NDP,Lib
40,SK,47002,"Blackstrap",,20747,2325,5509,9876,,Con,NDP,Lib
40,SK,47003,"Desnethé--Missinippi--Churchill River",,8964,733,5816,3414,282,Con,Lib,NDP
40,SK,47004,"Cypress Hills--Grasslands",,17922,1840,3691,4394,,Con,NDP,Lib
40,SK,47005,"Palliser",,14159,1580,5489,10865,,Con,NDP,Lib
40,SK,47006,"Prince Albert",,16542,1413,2289,8243,167,Con,NDP,Lib
40,SK,47007,"Regina--Lumsden--Lake Centre",,16053,1737,4668,8963,,Con,NDP,Lib
40,SK,47008,"Regina--Qu'Appelle",,14068,1556,2809,8699,,Con,NDP,Lib
40,SK,47009,"Saskatoon--Humboldt",,18610,2211,4135,9632,,Con,NDP,Lib
40,SK,47010,"Saskatoon--Rosetown--Biggar",,12231,1232,1188,11969,326,Con,NDP,Grn
40,SK,47011,"Saskatoon--Wanuskewin",,18320,2182,4020,7898,,Con,NDP,Lib
40,SK,47012,"Souris--Moose Mountain",,19293,1643,1834,4599,,Con,NDP,Lib
40,SK,47013,"Wascana",,12798,1706,17028,5418,,Lib,Con,NDP
40,SK,47014,"Yorkton--Melville",,19824,1664,1578,6076,,Con,NDP,Grn
40,YK,60001,"Yukon",,4788,1881,6715,1276,,Lib,Con,Grn
