election_id,prov_code,ed_id,ed_name,Bloc,ConParty,Grn,Lib,NDP,Other,1st,2nd,3rd
38,ON,130,"ETOBICOKE CENTRE",,14829,1676,30441,5174,112,Lib,ConParty,NDP
38,ON,131,"ETOBICOKE NORTH",,5737,605,19450,3761,1165,Lib,ConParty,NDP
38,ON,132,"ETOBICOKE--LAKESHORE",,15159,2201,24909,7179,129,Lib,ConParty,NDP
38,ON,133,"GLENGARRY--PRESCOTT--RUSSELL",,18729,2634,23921,4238,464,Lib,ConParty,NDP
38,ON,134,"GREY--BRUCE--OWEN SOUND",,22411,2076,17824,6516,982,ConParty,Lib,NDP
38,ON,135,"GUELPH",,13721,3866,23442,10527,991,Lib,ConParty,NDP
38,ON,136,"HALDIMAND--NORFOLK",,20981,1703,19336,7143,617,ConParty,Lib,NDP
38,ON,137,"HALIBURTON--KAWARTHA LAKES--BROCK",,24731,2637,19294,8427,823,ConParty,Lib,NDP
38,ON,138,"HALTON",,21704,2889,27362,4642,,Lib,ConParty,NDP
38,ON,139,"HAMILTON CENTRE",,6714,1422,14948,20321,956,NDP,Lib,ConParty
38,ON,140,"HAMILTON EAST--STONEY CREEK",,10888,1446,18417,17490,559,Lib,NDP,ConParty
38,ON,141,"HAMILTON MOUNTAIN",,15590,1378,18548,17552,214,Lib,NDP,ConParty
38,ON,142,"HURON--BRUCE",,15930,1518,25538,6707,1596,Lib,ConParty,NDP
38,ON,143,"KENORA",,6598,898,8563,7577,,Lib,NDP,ConParty
38,ON,144,"KINGSTON AND THE ISLANDS",,12582,3339,28544,8964,997,Lib,ConParty,NDP
38,ON,145,"KITCHENER CENTRE",,12412,2450,21264,8717,277,Lib,ConParty,NDP
38,ON,146,"KITCHENER--CONESTOGA",,14903,2793,17819,6623,,Lib,ConParty,NDP
38,ON,147,"KITCHENER--WATERLOO",,17155,3277,28015,9267,503,Lib,ConParty,NDP
38,ON,148,"LANARK--FRONTENAC--LENNOX AND ADDINGTON",,27566,2736,17507,7418,1299,ConParty,Lib,NDP
38,ON,149,"LEEDS--GRENVILLE",,26002,2722,16967,5834,,ConParty,Lib,NDP
38,ON,150,"LONDON NORTH CENTRE",,13677,2376,21472,12034,287,Lib,ConParty,NDP
38,ON,151,"LONDON WEST",,17335,2611,25061,9522,578,Lib,ConParty,NDP
38,ON,152,"LONDON--FANSHAWE",,10811,1634,15664,12511,518,Lib,NDP,ConParty
38,ON,153,"MARKHAM--UNIONVILLE",,10325,1148,30442,3993,,Lib,ConParty,NDP
38,ON,154,"MIDDLESEX--KENT--LAMBTON",,19288,1834,19452,7376,1015,Lib,ConParty,NDP
