election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
20,SK,228,"MACKENZIE",9037,5306,,1580,2143,CCF,Lib,SoCred
20,SK,229,"MAPLE CREEK",6483,4084,,2562,1721,CCF,Lib,PC
20,SK,230,"MELFORT",9849,5408,,5793,,CCF,PC,Lib
20,SK,231,"MELVILLE",10067,10095,,,,Lib,CCF,Other
20,SK,232,"MOOSE JAW",9831,5862,,4358,,CCF,Lib,PC
20,SK,233,"NORTH BATTLEFORD",5049,5267,2124,2039,1525,Lib,CCF,Other
20,SK,234,"PRINCE ALBERT",7928,7799,,2768,847,CCF,Lib,PC
20,SK,235,"QU'APPELLE",6146,4871,,5415,,CCF,PC,Lib
20,SK,236,"REGINA CITY",13799,10804,441,6973,,CCF,Lib,PC
20,SK,237,"ROSETOWN--BIGGAR",8484,3618,,3129,,CCF,Lib,PC
20,SK,238,"ROSTHERN",4678,6898,,1299,792,Lib,CCF,PC
20,SK,239,"SASKATOON CITY",9217,4902,618,8339,,CCF,PC,Lib
20,SK,240,"SWIFT CURRENT",7813,6169,,2537,,CCF,Lib,PC
20,SK,241,"THE BATTLEFORDS",7579,5156,,2994,1346,CCF,Lib,PC
20,SK,242,"WEYBURN",8174,5962,,1739,980,CCF,Lib,PC
20,SK,243,"WOOD MOUNTAIN",7772,5641,,2718,,CCF,Lib,PC
20,SK,244,"YORKTON",9158,5591,,3966,,CCF,Lib,PC
20,YK,245,"YUKON",584,,687,849,,PC,Other,CCF
