election_id,prov_code,ed_id,ed_name,Bloc,Grn,Lib,NDP,Other,PC,Reform,1st,2nd,3rd
36,QC,218,"BEAUPORT--MONTMORENCY--ORLÉANS",21994,,13863,885,419,12748,1255,Bloc,Lib,PC
36,QC,219,"BELLECHASSE--ETCHEMINS--MONTMAGNY--L'ISLET",14053,,14100,520,,12840,611,Lib,Bloc,PC
36,QC,220,"BERTHIER--MONTCALM",32707,,15073,1009,,13338,,Bloc,Lib,PC
36,QC,221,"BONAVENTURE--GASPÉ--ÎLES-DE-LA-MADELEINE--PABOK",15983,,15804,649,,6297,,Bloc,Lib,PC
36,QC,222,"BOURASSA",14813,,23765,999,,5937,,Lib,Bloc,PC
36,QC,223,"BROME--MISSISQUOI",12652,,19261,781,,12770,,Lib,PC,Bloc
36,QC,224,"BROSSARD--LA PRAIRIE",17342,,24676,906,,9982,,Lib,Bloc,PC
36,QC,225,"CHAMBLY",26109,,14061,998,,11802,,Bloc,Lib,PC
36,QC,226,"CHAMPLAIN",20687,,12915,632,,12784,,Bloc,Lib,PC
36,QC,227,"CHARLESBOURG",21556,,17628,963,975,13811,1135,Bloc,Lib,PC
36,QC,228,"CHARLEVOIX",19792,,9838,454,,6443,,Bloc,Lib,PC
36,QC,229,"CHICOUTIMI",18281,,4839,853,,18598,,PC,Bloc,Lib
36,QC,230,"CHÂTEAUGUAY",25909,,19167,794,,11112,,Bloc,Lib,PC
36,QC,231,"COMPTON--STANSTEAD",13367,,8119,587,439,18125,,PC,Bloc,Lib
36,QC,232,"DRUMMOND",18577,,10165,441,,14777,,Bloc,PC,Lib
36,QC,233,"FRONTENAC--MÉGANTIC",14433,,13968,252,365,9885,,Bloc,Lib,PC
36,QC,234,"GATINEAU",11391,,25298,982,1043,15786,,Lib,PC,Bloc
36,QC,235,"HOCHELAGA--MAISONNEUVE",21938,,16308,825,1021,7583,,Bloc,Lib,PC
36,QC,236,"HULL--AYLMER",9922,586,25835,1317,692,8461,935,Lib,Bloc,PC
36,QC,237,"JOLIETTE",22605,,7452,502,594,17417,,Bloc,PC,Lib
36,QC,238,"JONQUIÈRE",16415,,4874,353,348,11808,,Bloc,PC,Lib
36,QC,239,"KAMOURASKA--RIVIÈRE-DU-LOUP--TÉMISCOUATA--LES BASQUES",16518,,14119,420,480,11623,,Bloc,Lib,PC
36,QC,240,"LAC-SAINT-JEAN",21506,,7109,391,,4845,,Bloc,Lib,PC
36,QC,241,"LAC-SAINT-LOUIS",4347,,42613,1548,386,11293,1556,Lib,PC,Bloc
36,QC,242,"LASALLE--ÉMARD",12953,,32317,920,453,6445,,Lib,Bloc,PC
36,QC,243,"LAURENTIDES",28647,,19053,844,,14096,,Bloc,Lib,PC
36,QC,244,"LAURIER--SAINTE-MARIE",26546,1167,11154,2180,1716,5808,,Bloc,Lib,PC
36,QC,245,"LAVAL CENTRE",22668,,20222,1188,,13132,,Bloc,Lib,PC
36,QC,246,"LAVAL EAST",23093,,19279,765,,16912,,Bloc,Lib,PC
36,QC,247,"LAVAL WEST",19547,,31566,1072,,12365,,Lib,Bloc,PC
36,QC,248,"LONGUEUIL",20977,,12147,857,,7773,,Bloc,Lib,PC
36,QC,249,"LOTBINIÈRE",13069,,10062,445,1988,9690,,Bloc,Lib,PC
36,QC,250,"LOUIS-HÉBERT",23653,,19955,1161,558,13002,1024,Bloc,Lib,PC
36,QC,251,"LÉVIS",27870,,17256,1881,,14630,,Bloc,Lib,PC
36,QC,252,"MANICOUAGAN",12203,,10671,1041,,2009,,Bloc,Lib,PC
36,QC,253,"MATAPÉDIA--MATANE",15694,,10558,417,377,7991,,Bloc,Lib,PC
36,QC,254,"MERCIER",24649,,14061,772,297,8500,,Bloc,Lib,PC
36,QC,255,"MOUNT ROYAL",1981,,30115,966,10301,5006,,Lib,Other,PC
36,QC,256,"NOTRE-DAME-DE-GRÂCE--LACHINE",8797,,29582,2315,1261,10350,,Lib,PC,Bloc
36,QC,257,"OUTREMONT",12608,,22271,2862,1246,5424,,Lib,Bloc,PC
36,QC,258,"PAPINEAU--SAINT-DENIS",14083,,26260,1196,952,6227,,Lib,Bloc,PC
36,QC,259,"PIERREFONDS--DOLLARD",6239,,38476,1060,465,10546,1134,Lib,PC,Bloc
36,QC,260,"PONTIAC--GATINEAU--LABELLE",15897,,22736,1097,748,9187,,Lib,Bloc,PC
36,QC,261,"PORTNEUF",18615,,12674,1112,,10587,,Bloc,Lib,PC
36,QC,262,"QUÉBEC",24817,,18062,2556,,10309,,Bloc,Lib,PC
