election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
31,NS,85,"CENTRAL NOVA",9988,4521,,18907,,PC,Lib,NDP
31,NS,86,"CUMBERLAND--COLCHESTER",12154,5662,294,22827,,PC,Lib,NDP
31,NS,87,"DARTMOUTH--HALIFAX EAST",15453,7116,,21441,,PC,Lib,NDP
31,NS,88,"HALIFAX",16555,7590,246,16570,,PC,Lib,NDP
31,NS,89,"HALIFAX WEST",16702,8265,427,22714,,PC,Lib,NDP
31,NS,90,"SOUTH SHORE",11666,3988,,20867,,PC,Lib,NDP
31,NS,91,"SOUTH WEST NOVA",16398,4217,,16512,,PC,Lib,NDP
31,NT,92,"NUNATSIAQ",1887,1963,,1352,,NDP,Lib,PC
31,NT,93,"WESTERN ARCTIC",3827,3385,273,4058,,PC,Lib,NDP
31,ON,94,"ALGOMA",15277,10989,121,7531,,Lib,NDP,PC
31,ON,95,"BEACHES",11232,12322,788,12840,,PC,NDP,Lib
31,ON,96,"BRAMPTON--GEORGETOWN",22270,11584,365,31042,,PC,Lib,NDP
31,ON,97,"BRANT",13154,20908,93,15422,,NDP,PC,Lib
31,ON,98,"BROADVIEW--GREENWOOD",9290,13187,740,9987,,NDP,PC,Lib
31,ON,99,"BRUCE--GREY",14314,4723,223,21219,,PC,Lib,NDP
31,ON,100,"BURLINGTON",16100,8421,427,32225,,PC,Lib,NDP
31,ON,101,"CAMBRIDGE",9903,11085,78,16337,150,PC,NDP,Lib
31,ON,102,"COCHRANE",12889,11080,,5001,,Lib,NDP,PC
31,ON,103,"DAVENPORT",12760,5579,401,4090,,Lib,NDP,PC
31,ON,104,"DON VALLEY EAST",21428,6595,357,25352,,PC,Lib,NDP
31,ON,105,"DON VALLEY WEST",18117,5572,439,28427,,PC,Lib,NDP
31,ON,106,"DURHAM--NORTHUMBERLAND",10748,8393,396,21502,,PC,Lib,NDP
31,ON,107,"EGLINTON--LAWRENCE",19270,7368,696,17605,,Lib,PC,NDP
31,ON,108,"ELGIN",9273,4293,,21181,,PC,Lib,NDP
31,ON,109,"ERIE",11175,6985,180,15500,,PC,Lib,NDP
31,ON,110,"ESSEX--KENT",14457,4759,,13181,,Lib,PC,NDP
31,ON,111,"ESSEX--WINDSOR",20373,18603,144,6875,,Lib,NDP,PC
31,ON,112,"ETOBICOKE CENTRE",23141,6237,476,31498,,PC,Lib,NDP
31,ON,113,"ETOBICOKE NORTH",20534,12017,337,18886,,Lib,PC,NDP
31,ON,114,"ETOBICOKE--LAKESHORE",15791,14044,590,15044,,Lib,PC,NDP
31,ON,115,"GLENGARRY--PRESCOTT--RUSSELL",27106,4164,107,10112,,Lib,PC,NDP
31,ON,116,"GREY--SIMCOE",11191,5576,285,20825,165,PC,Lib,NDP
31,ON,117,"GUELPH",16203,8535,364,18149,,PC,Lib,NDP
31,ON,118,"HALDIMAND--NORFOLK",15990,6762,,22655,309,PC,Lib,NDP
31,ON,119,"HALTON",17169,7838,297,28850,,PC,Lib,NDP
31,ON,120,"HAMILTON EAST",14579,11783,243,11642,,Lib,NDP,PC
31,ON,121,"HAMILTON MOUNTAIN",17334,12273,170,21348,,PC,Lib,NDP
31,ON,122,"HAMILTON WEST",13859,8512,299,19661,,PC,Lib,NDP
31,ON,123,"HAMILTON--WENTWORTH",11343,8550,69,22369,,PC,Lib,NDP
31,ON,124,"HASTINGS--FRONTENAC",11176,5691,417,17537,,PC,Lib,NDP
31,ON,125,"HURON--BRUCE",11818,2729,,21122,,PC,Lib,NDP
31,ON,126,"KENORA--RAINY RIVER",11793,10844,99,10555,253,Lib,NDP,PC
31,ON,127,"KINGSTON AND THE ISLANDS",14866,8472,,21277,,PC,Lib,NDP
31,ON,128,"KITCHENER",16900,11345,378,23230,,PC,Lib,NDP
31,ON,129,"Kent",11713,5047,,18007,,PC,Lib,NDP
31,ON,130,"LAMBTON--MIDDLESEX",15335,4585,,18770,,PC,Lib,NDP
31,ON,131,"LANARK--RENFREW--CARLETON",10485,5749,,24277,,PC,Lib,NDP
31,ON,132,"LEEDS--GRENVILLE",11797,6551,,24127,,PC,Lib,NDP
