election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,Other,Reconstruct,SoCred,1st,2nd,3rd
18,SK,226,"KINDERSLEY",2189,,4777,,,6856,SoCred,Lib,CCF
18,SK,227,"LAKE CENTRE",3909,4100,5894,,,1474,Lib,Con,CCF
18,SK,228,"MACKENZIE",4451,,6595,1234,,3059,Lib,CCF,SoCred
18,SK,229,"MAPLE CREEK",3622,3597,4558,,,3167,Lib,CCF,Con
18,SK,230,"MELFORT",2977,4814,6389,,,4721,Lib,Con,SoCred
18,SK,231,"MELVILLE",2892,3010,8726,,,3727,Lib,SoCred,Con
18,SK,232,"MOOSE JAW",2272,4553,7353,,,2235,Lib,Con,CCF
18,SK,233,"NORTH BATTLEFORD",4168,,7039,,,4412,Lib,SoCred,CCF
18,SK,234,"PRINCE ALBERT",1469,2880,9087,,,3185,Lib,SoCred,Con
18,SK,235,"QU'APPELLE",2210,5769,5579,,,2186,Con,Lib,CCF
18,SK,236,"REGINA CITY",4706,7986,10235,,,1874,Lib,Con,CCF
18,SK,237,"ROSETOWN--BIGGAR",6806,3228,4360,,,836,CCF,Lib,Con
18,SK,238,"ROSTHERN",1613,602,7515,,1854,1628,Lib,Reconstruct,SoCred
18,SK,239,"SASKATOON CITY",1889,5859,7690,,419,3377,Lib,Con,SoCred
18,SK,240,"SWIFT CURRENT",2927,2536,5682,,,3556,Lib,SoCred,CCF
18,SK,241,"THE BATTLEFORDS",3247,2766,5990,,,6314,SoCred,Lib,CCF
18,SK,242,"WEYBURN",7280,,6979,1557,,362,CCF,Lib,Other
18,SK,243,"WOOD MOUNTAIN",2864,1446,6092,,,4584,Lib,SoCred,CCF
18,SK,244,"YORKTON",4129,4123,7491,,2088,,Lib,CCF,Con
18,YK,245,"YUKON",,,555,696,,,Other,Lib,CCF
