election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,Progressive,1st,2nd,3rd
7,ON,55,"BOTHWELL",1456,2006,1088,,,Lib,Con,Other
7,ON,56,"BRANT NORTH",613,1729,,,,Lib,Con,Other
7,ON,57,"BRANT SOUTH",,1963,1421,,,Lib,Other,Con
7,ON,58,"BROCKVILLE",,1637,,1815,,PC,Lib,Other
7,ON,59,"BRUCE EAST",1931,2045,,,,Lib,Con,Other
7,ON,60,"BRUCE NORTH",,1826,,1865,,PC,Lib,Other
7,ON,61,"BRUCE WEST",1085,2015,,,,Lib,Con,Other
7,ON,62,"CARDWELL",1628,1380,,,,Con,Lib,Other
7,ON,63,"CARLETON",2945,,,,,Con,Other,Lib
7,ON,64,"CORNWALL AND STORMONT",,1934,,2152,,PC,Lib,Other
7,ON,65,"DUNDAS",2086,2026,,,,Con,Lib,Other
7,ON,66,"DURHAM EAST",1746,,1685,,,Con,Other,Lib
7,ON,67,"DURHAM WEST",1764,1962,,,,Lib,Con,Other
7,ON,68,"ELGIN EAST",,2694,,2740,,PC,Lib,Other
7,ON,69,"ELGIN WEST",1653,2335,,,,Lib,Con,Other
7,ON,70,"ESSEX NORTH",2043,2892,,,,Lib,Con,Other
7,ON,71,"ESSEX SOUTH",2333,2390,,,,Lib,Con,Other
7,ON,72,"FRONTENAC",1427,1222,,,,Con,Lib,Other
7,ON,73,"GLENGARRY",1953,1632,,,,Con,Lib,Other
7,ON,74,"GRENVILLE SOUTH",1414,1303,,,,Con,Lib,Other
7,ON,75,"GREY EAST",1977,1958,,,,Con,Lib,Other
7,ON,76,"GREY NORTH",2511,2264,,,,Con,Lib,Other
7,ON,77,"GREY SOUTH",2255,2301,,,,Lib,Con,Other
7,ON,78,"HALDIMAND",1896,1818,,,,Con,Lib,Other
7,ON,79,"HALTON",2441,2337,,,,Con,Lib,Other
7,ON,80,"HAMILTON-1",4186,3474,,,,Con,Lib,Other
7,ON,81,"HAMILTON-2",4156,3532,,,,Con,Lib,Other
7,ON,82,"HASTINGS EAST",1897,1951,,,,Lib,Con,Other
7,ON,83,"HASTINGS NORTH",1686,1480,,,,Con,Lib,Other
7,ON,84,"HASTINGS WEST",1955,1595,,,,Con,Lib,Other
7,ON,85,"HURON EAST",1729,2037,,,,Lib,Con,Other
7,ON,86,"HURON SOUTH",,2835,54,,,Lib,Other,Con
7,ON,87,"HURON WEST",,2199,,1820,,Lib,PC,Other
7,ON,88,"KENT",2662,3138,,,,Lib,Con,Other
7,ON,89,"KINGSTON",1813,1301,,,,Con,Lib,Other
7,ON,90,"LAMBTON EAST",2636,2070,,,,Con,Lib,Other
7,ON,91,"LAMBTON WEST",1766,2364,,,,Lib,Con,Other
7,ON,92,"LANARK NORTH",1723,1422,,,,Con,Lib,Other
7,ON,93,"LANARK SOUTH",1804,1174,,,,Con,Lib,Other
7,ON,94,"LEEDS NORTH AND GRENVILLE NORTH",,1165,,1311,,PC,Lib,Other
7,ON,95,"LEEDS SOUTH",2294,2188,,,,Con,Lib,Other
7,ON,96,"LENNOX",1580,1637,,,,Lib,Con,Other
7,ON,97,"LINCOLN AND NIAGARA",,2212,2164,,,Lib,Other,Con
7,ON,98,"LONDON",,2037,,1854,,Lib,PC,Other
7,ON,99,"MIDDLESEX EAST",2369,2214,,,,Con,Lib,Other
7,ON,100,"MIDDLESEX NORTH",1965,1959,,,,Con,Lib,Other
7,ON,101,"MIDDLESEX SOUTH",1282,1906,,,,Lib,Con,Other
7,ON,102,"MIDDLESEX WEST",2639,1119,,,,Con,Lib,Other
7,ON,103,"MONCK",1614,1874,,,,Lib,Con,Other
7,ON,104,"MUSKOKA AND PARRY SOUND",1916,1768,,,,Con,Lib,Other
7,ON,105,"NORFOLK NORTH",1902,2370,,,,Lib,Con,Other
7,ON,106,"NORFOLK SOUTH",2051,1639,,,,Con,Lib,Other
7,ON,107,"NORTHUMBERLAND EAST",2495,2259,,,,Con,Lib,Other
7,ON,108,"NORTHUMBERLAND WEST",1554,1590,,,,Lib,Con,Other
7,ON,109,"ONTARIO NORTH",2206,1952,,,,Con,Lib,Other
7,ON,110,"ONTARIO SOUTH",2009,2042,,,,Lib,Con,Other
7,ON,111,"ONTARIO WEST",868,1867,,,,Lib,Con,Other
7,ON,112,"OTTAWA (CITY OF)-1",3029,1342,,,,Con,Lib,Other
7,ON,113,"OTTAWA (CITY OF)-2",,1946,770,2363,,PC,Lib,Other
7,ON,114,"OXFORD NORTH",1010,2544,,,,Lib,Con,Other
7,ON,115,"OXFORD SOUTH",1287,2021,,,,Lib,Con,Other
7,ON,116,"PEEL",1613,1667,,,,Lib,Con,Other
7,ON,117,"PERTH NORTH",2449,2520,,,,Lib,Con,Other
7,ON,118,"PERTH SOUTH",2186,2363,,,,Lib,Con,Other
7,ON,119,"PETERBOROUGH EAST",1832,1803,,,,Con,Lib,Other
7,ON,120,"PETERBOROUGH WEST",1447,1215,,,,Con,Lib,Other
7,ON,121,"PRESCOTT",608,1269,867,,,Lib,Other,Con
7,ON,122,"PRINCE EDWARD",2264,2225,,,,Con,Lib,Other
7,ON,123,"RENFREW NORTH",1497,1418,,,,Con,Lib,Other
7,ON,124,"RENFREW SOUTH",,1198,1642,,,Other,Lib,Con
7,ON,125,"RUSSELL",1895,2308,,,,Lib,Con,Other
7,ON,126,"SIMCOE EAST",2643,2850,,,,Lib,Con,Other
7,ON,127,"SIMCOE NORTH",,2121,2417,,,Other,Lib,Con
7,ON,128,"SIMCOE SOUTH",,,,,,Other,Con,Lib
7,ON,129,"TORONTO CENTRE",2414,1912,,,,Con,Lib,Other
7,ON,130,"TORONTO EAST",3520,2056,,,,Con,Lib,Other
7,ON,131,"VICTORIA NORTH",,1614,,1412,,Lib,PC,Other
