election_id,prov_code,ed_id,ed_name,Gov,OppConscript,Other,1st,2nd,3rd
13,MB,35,"SELKIRK",5860,3045,,Gov,OppConscript,Other
13,MB,36,"SOURIS",,,,Other,Gov,OppConscript
13,MB,37,"SPRINGFIELD",5870,3781,,Gov,OppConscript,Other
13,MB,38,"WINNIPEG CENTRE",25580,4650,,Gov,OppConscript,Other
13,MB,39,"WINNIPEG NORTH",9656,3472,,Gov,OppConscript,Other
13,MB,40,"WINNIPEG SOUTH",19031,2516,,Gov,OppConscript,Other
13,NB,41,"CHARLOTTE",3248,2631,,Gov,OppConscript,Other
13,NB,42,"GLOUCESTER",,,,Other,Gov,OppConscript
13,NB,43,"KENT",1323,3563,,OppConscript,Gov,Other
13,NB,44,"NORTHUMBERLAND",4648,3601,,Gov,OppConscript,Other
13,NB,45,"RESTIGOUCHE--MADAWASKA",2271,5077,,OppConscript,Gov,Other
13,NB,46,"ROYAL",5959,2834,,Gov,OppConscript,Other
13,NB,47,"ST. JOHN--ALBERT-1",13594,5530,,Gov,OppConscript,Other
13,NB,48,"ST. JOHN--ALBERT-2",13611,5694,,Gov,OppConscript,Other
13,NB,49,"VICTORIA--CARLETON",,,,Other,Gov,OppConscript
13,NB,50,"WESTMORLAND",4982,6645,,OppConscript,Gov,Other
13,NB,51,"YORK--SUNBURY",6957,3093,,Gov,OppConscript,Other
13,NS,52,"ANTIGONISH--GUYSBOROUGH",2506,3944,,OppConscript,Gov,Other
13,NS,53,"CAPE BRETON SOUTH AND RICHMOND-1",7645,6690,3615,Gov,OppConscript,Other
13,NS,54,"CAPE BRETON SOUTH AND RICHMOND-2",8073,6738,3667,Gov,OppConscript,Other
13,NS,55,"COLCHESTER",,,,Other,Gov,OppConscript
13,NS,56,"CUMBERLAND",6655,5459,,Gov,OppConscript,Other
13,NS,57,"DIGBY AND ANNAPOLIS",4596,3777,,Gov,OppConscript,Other
13,NS,58,"HALIFAX-1",,,,Other,Gov,OppConscript
13,NS,59,"HALIFAX-2",,,,Other,Gov,OppConscript
13,NS,60,"HANTS",2989,2696,,Gov,OppConscript,Other
13,NS,61,"INVERNESS",2258,3544,,OppConscript,Gov,Other
13,NS,62,"KINGS",3941,2524,,Gov,OppConscript,Other
13,NS,63,"LUNENBURG",3861,4699,,OppConscript,Gov,Other
13,NS,64,"NORTH CAPE BRETON AND VICTORIA",3649,4477,,OppConscript,Gov,Other
13,NS,65,"PICTOU",6800,6043,,Gov,OppConscript,Other
13,NS,66,"SHELBURNE AND QUEEN'S",,,,Other,Gov,OppConscript
13,NS,67,"YARMOUTH AND CLARE",4463,3447,,Gov,OppConscript,Other
13,ON,68,"ALGOMA EAST",4742,3596,,Gov,OppConscript,Other
13,ON,69,"ALGOMA WEST",4780,2510,658,Gov,OppConscript,Other
13,ON,70,"BRANT",2106,1299,2023,Gov,Other,OppConscript
13,ON,71,"BRANTFORD",5925,2233,1726,Gov,OppConscript,Other
13,ON,72,"BRUCE NORTH",4269,2579,,Gov,OppConscript,Other
13,ON,73,"BRUCE SOUTH",3456,3628,,OppConscript,Gov,Other
13,ON,74,"CARLETON",5290,2669,,Gov,OppConscript,Other
13,ON,75,"DUFFERIN",3797,806,,Gov,OppConscript,Other
13,ON,76,"DUNDAS",4236,2806,,Gov,OppConscript,Other
13,ON,77,"DURHAM",5923,1404,,Gov,OppConscript,Other
13,ON,78,"ELGIN EAST",2591,2283,,Gov,OppConscript,Other
13,ON,79,"ELGIN WEST",5173,3526,,Gov,OppConscript,Other
13,ON,80,"ESSEX NORTH",6718,7164,,OppConscript,Gov,Other
13,ON,81,"ESSEX SOUTH",3645,3476,,Gov,OppConscript,Other
13,ON,82,"FORT WILLIAM AND RAINY RIVER",5943,,2560,Gov,Other,OppConscript
13,ON,83,"FRONTENAC",3641,1658,,Gov,OppConscript,Other
13,ON,84,"GLENGARRY AND STORMONT",,,,Other,Gov,OppConscript
13,ON,85,"GRENVILLE",3011,1734,,Gov,OppConscript,Other
13,ON,86,"GREY NORTH",5815,3521,,Gov,OppConscript,Other
13,ON,87,"GREY SOUTHEAST",4845,3609,,Gov,OppConscript,Other
13,ON,88,"HALDIMAND",3696,2480,,Gov,OppConscript,Other
13,ON,89,"HALTON",4802,2032,,Gov,OppConscript,Other
13,ON,90,"HAMILTON EAST",11340,,,Gov,Other,OppConscript
13,ON,91,"HAMILTON WEST",6451,2610,3678,Gov,Other,OppConscript
13,ON,92,"HASTINGS EAST",4202,1909,,Gov,OppConscript,Other
13,ON,93,"HASTINGS WEST",5710,4085,,Gov,OppConscript,Other
13,ON,94,"HURON NORTH",4799,2770,,Gov,OppConscript,Other
13,ON,95,"HURON SOUTH",3932,3389,,Gov,OppConscript,Other
13,ON,96,"KENT",,7402,6313,OppConscript,Other,Gov
13,ON,97,"KINGSTON",6194,1782,,Gov,OppConscript,Other
13,ON,98,"LAMBTON EAST",4239,3255,,Gov,OppConscript,Other
13,ON,99,"LAMBTON WEST",5691,2842,,Gov,OppConscript,Other
13,ON,100,"LANARK",5816,2609,661,Gov,OppConscript,Other
13,ON,101,"LEEDS",7236,4069,,Gov,OppConscript,Other
13,ON,102,"LENNOX AND ADDINGTON",3477,1895,,Gov,OppConscript,Other
13,ON,103,"LINCOLN",9335,3816,,Gov,OppConscript,Other
13,ON,104,"LONDON",11136,6783,,Gov,OppConscript,Other
13,ON,105,"MIDDLESEX EAST",4212,2755,,Gov,OppConscript,Other
13,ON,106,"MIDDLESEX WEST",3531,3930,,OppConscript,Gov,Other
13,ON,107,"MUSKOKA",3457,1878,,Gov,OppConscript,Other
13,ON,108,"NIPISSING",6411,6367,,Gov,OppConscript,Other
13,ON,109,"NORFOLK",4544,3258,,Gov,OppConscript,Other
13,ON,110,"NORTHUMBERLAND",6313,2916,,Gov,OppConscript,Other
13,ON,111,"ONTARIO NORTH",3123,1568,,Gov,OppConscript,Other
13,ON,112,"ONTARIO SOUTH",5205,2682,,Gov,OppConscript,Other
13,ON,113,"OTTAWA (CITY OF)-1",18312,13077,,Gov,OppConscript,Other
13,ON,114,"OTTAWA (CITY OF)-2",18547,13289,,Gov,OppConscript,Other
13,ON,115,"OXFORD NORTH",3836,3074,,Gov,OppConscript,Other
13,ON,116,"OXFORD SOUTH",4124,2812,,Gov,OppConscript,Other
13,ON,117,"PARKDALE",13306,3698,7736,Gov,Other,OppConscript
13,ON,118,"PARRY SOUND",5182,2043,,Gov,OppConscript,Other
13,ON,119,"PEEL",4751,2499,,Gov,OppConscript,Other
13,ON,120,"PERTH NORTH",5977,4109,,Gov,OppConscript,Other
13,ON,121,"PERTH SOUTH",2770,2713,,Gov,OppConscript,Other
13,ON,122,"PETERBOROUGH EAST",2555,1389,,Gov,OppConscript,Other
13,ON,123,"PETERBOROUGH WEST",6382,2964,,Gov,OppConscript,Other
13,ON,124,"PORT ARTHUR AND KENORA",5990,2476,,Gov,OppConscript,Other
13,ON,125,"PRESCOTT",1439,3743,,OppConscript,Gov,Other
13,ON,126,"PRINCE EDWARD",3231,1755,,Gov,OppConscript,Other
13,ON,127,"RENFREW NORTH",3397,2873,,Gov,OppConscript,Other
13,ON,128,"RENFREW SOUTH",3182,3245,,OppConscript,Gov,Other
13,ON,129,"RUSSELL",3768,5895,,OppConscript,Gov,Other
13,ON,130,"SIMCOE EAST",6669,3076,,Gov,OppConscript,Other
13,ON,131,"SIMCOE NORTH",4240,2293,,Gov,OppConscript,Other
13,ON,132,"SIMCOE SOUTH",5771,1157,,Gov,OppConscript,Other
13,ON,133,"TIMISKAMING",7025,4868,,Gov,OppConscript,Other
13,ON,134,"TORONTO CENTRE",12051,3918,217,Gov,OppConscript,Other
13,ON,135,"TORONTO EAST",15894,4399,,Gov,OppConscript,Other
13,ON,136,"TORONTO NORTH",21130,,2893,Gov,Other,OppConscript
13,ON,137,"TORONTO SOUTH",7469,,2365,Gov,Other,OppConscript
13,ON,138,"TORONTO WEST",12648,3030,2053,Gov,OppConscript,Other
13,ON,139,"VICTORIA",6338,3079,,Gov,OppConscript,Other
13,ON,140,"WATERLOO NORTH",3571,5435,220,OppConscript,Gov,Other
13,ON,141,"WATERLOO SOUTH",5681,2894,1396,Gov,OppConscript,Other
13,ON,142,"WELLAND",5378,4616,1704,Gov,OppConscript,Other
13,ON,143,"WELLINGTON NORTH",3492,1998,,Gov,OppConscript,Other
13,ON,144,"WELLINGTON SOUTH",7358,,2139,Gov,Other,OppConscript
13,ON,145,"WENTWORTH",9070,3387,1507,Gov,OppConscript,Other
13,ON,146,"YORK EAST",9736,5758,3338,Gov,OppConscript,Other
13,ON,147,"YORK NORTH",3948,2870,,Gov,OppConscript,Other
13,ON,148,"YORK SOUTH",16088,2065,2095,Gov,Other,OppConscript
13,ON,149,"YORK WEST",11930,2856,,Gov,OppConscript,Other
13,PE,150,"KING'S",2889,2837,,Gov,OppConscript,Other
13,PE,151,"PRINCE",3974,4298,,OppConscript,Gov,Other
